time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/std,train/value_loss,train/learning_rate,train/kl_loss_with_bc_model,train/n_updates,train/clip_fraction,train/explained_variance,train/loss,eval/mean_reward,eval/success_rate,eval/mean_ep_length
1,3795,131072,34,,,,,,,,,,,,,,,
2,3884,262144,67,3.15152979940176,-0.003595943173422711,0.0023153136,0.2,0.04884331673383713,416.9257392883301,0.00029803391999999997,0.0010463390499353409,5,0.0048614501953125,9.459257125854492e-05,171.1713104248047,,,
3,3751,393216,104,3.1835713982582092,-0.0022729972683009692,0.001795026,0.2,0.04786590859293938,377.04340782165525,0.00029606783999999996,0.00319132162258029,10,0.002313232421875,0.23177582025527954,165.5373992919922,,,
4,3695,524288,141,3.220594345033169,-0.0012455883930670097,0.00097128295,0.2,0.047385554760694504,231.97138347625733,0.00029410175999999995,0.005778681021183729,15,0.00090789794921875,0.4010753035545349,99.92041778564453,,,
5,3681,655360,178,3.3844731375575066,-0.001331265253247693,0.00075312564,0.2,0.046925049275159836,193.4431799888611,0.00029213568,0.008490260690450668,20,0.0005462646484375,0.5525344610214233,91.07835388183594,,,
6,3686,786432,213,3.6312006756663324,-0.002486698326538317,0.0010873253,0.2,0.04615195840597153,142.03254389762878,0.0002901696,0.013698752038180828,25,0.00114593505859375,0.667824000120163,61.44611740112305,,,
7,3698,917504,248,3.644454951584339,-0.0012182890510302967,0.0006294483,0.2,0.045693300664424896,110.03328695297242,0.00028820352,0.016406362876296043,30,0.00094757080078125,0.7404651939868927,46.8559455871582,,,
8,3664,1048576,286,3.6742845490574836,-0.002258343787980266,0.001006332,0.2,0.04512616991996765,108.36682057380676,0.00028623744,0.02029648795723915,35,0.00142364501953125,0.7574831992387772,47.3320426940918,,,
9,3635,1179648,324,3.5541757568717003,-0.001310578820266528,0.0005935243,0.2,0.04472106322646141,98.330615234375,0.00028427136,0.024477720260620117,40,0.0003875732421875,0.8167649209499359,42.37811279296875,,,
10,3628,1310720,361,3.7013605341315268,-0.0012755229166941718,0.0007236694,0.2,0.044518351554870605,80.88263778686523,0.00028230527999999997,0.02666618674993515,45,0.00069122314453125,0.8350897580385208,31.434680938720703,,,
11,3632,1441792,396,3.611137846112251,-0.0007585210601973813,0.00055060565,0.2,0.04427924379706383,69.92558941841125,0.00028033919999999996,0.031570326536893845,50,0.00100250244140625,0.8759360909461975,29.26029396057129,,,
12,3622,1572864,434,3.8509812697768213,-0.0010700788036047016,0.00057562115,0.2,0.043935626745224,63.61015272140503,0.00027837312,0.04133625328540802,55,0.0008209228515625,0.8847791850566864,24.906993865966797,,,
13,3609,1703936,472,3.811747042834759,-0.00047892211805447007,0.00042125396,0.2,0.04369201883673668,56.776537132263186,0.00027640703999999995,0.045401714742183685,60,0.00043792724609375,0.8953143805265427,24.990907669067383,,,
14,3603,1835008,509,3.806313084065914,-0.0004795489454409108,0.0004292384,0.2,0.04353763908147812,51.99342317581177,0.00027444096,0.04679067060351372,65,0.00041961669921875,0.9072770103812218,20.165802001953125,,,
15,3603,1966080,545,3.886473980545998,-0.00022274561852100305,0.00038392938,0.2,0.04344484210014343,44.45303771495819,0.00027247488,0.0601968877017498,70,0.0005462646484375,0.9276307225227356,15.743518829345703,,,
16,3609,2097152,581,3.8356418415904043,-0.00019007586961379276,0.00044844396,0.2,0.04336538910865784,50.29610841274261,0.0002705088,0.06584669649600983,75,0.00059661865234375,0.9205807372927666,19.69916343688965,,,
