bc/samples_so_far,bc/ent_loss,bc/neglogp,bc/epoch,bc/entropy,bc/prob_true_act,bc/l2_loss,bc/loss,bc/batch,batch_size,bc/l2_norm
53252096,0.006693338509649038,-6.712612624224258,13,-6.693338394165039,2544.157826480926,0.0,-6.705919285714609,13000,4096,17244.234375
55300096,0.006684112828224897,-6.709501897371022,13,-6.684112548828125,2673.487062993101,0.0,-6.702817784542797,13500,4096,17715.33203125
57348096,0.006725536193698645,-6.751823486895001,14,-6.725535869598389,2833.5446554267646,0.0,-6.745097950701302,14000,4096,18190.5234375
59396096,0.006696214433759451,-6.698730726547349,14,-6.696214199066162,2751.5666670196556,0.0,-6.692034512113589,14500,4096,18658.666015625
61444096,0.006696029100567102,-6.763539328890252,15,-6.696028709411621,2797.122452691816,0.0,-6.756843299789685,15000,4096,19129.279296875
63492096,0.006732905749231577,-6.66866381900885,15,-6.732905387878418,2650.0432365196675,0.0,-6.661930913259618,15500,4096,19614.455078125
65540096,0.006775316782295704,-6.836481463101883,16,-6.77531623840332,3045.762509972127,0.0,-6.829706146319587,16000,4096,20100.482421875
67588096,0.006746223196387291,-6.785262353045043,16,-6.746222972869873,2832.545730102089,0.0,-6.778516129848656,16500,4096,20603.880859375
69636096,0.006754147354513407,-6.812048654788743,17,-6.754147052764893,2910.88234514723,0.0,-6.80529450743423,17000,4096,21099.9296875
71684096,0.006781687960028648,-6.823088880950496,17,-6.7816877365112305,3162.0264336553373,0.0,-6.816307192990467,17500,4096,21600.5859375
73732096,0.006770969368517399,-6.755614954244413,18,-6.770968914031982,2948.0559174409846,0.0,-6.748843984875895,18000,4096,22116.513671875
75780096,0.006828530225902796,-6.6864671597045895,18,-6.8285298347473145,2788.1045110173754,0.0,-6.679638629478687,18500,4096,22641.62109375
77828096,0.006783437915146351,-6.746822451045226,19,-6.783437728881836,2907.3079127446927,0.0,-6.74003901313008,19000,4096,23159.771484375
79876096,0.006828654557466507,-6.827199886106449,19,-6.8286542892456055,3049.585253319944,0.0,-6.820371231548982,19500,4096,23709.099609375
81924096,0.006833803839981556,-6.834317885617297,20,-6.833803653717041,3289.8193169371484,0.0,-6.827484081777316,20000,4096,24238.51953125
83972096,0.006782113574445248,-6.851141255624207,20,-6.782113075256348,3126.254388879697,0.0,-6.844359142049762,20500,4096,24764.755859375
86020096,0.006856993306428194,-6.790418278260635,21,-6.856993198394775,3099.6397352994045,0.0,-6.783561284954207,21000,4096,25336.810546875
88068096,0.006832679267972708,-6.835684829043517,21,-6.83267879486084,3181.691408918846,0.0,-6.828852149775544,21500,4096,25877.72265625
90116096,0.006839756388217211,-6.842043465563759,22,-6.839756011962891,3229.813604109614,0.0,-6.835203709175542,22000,4096,26426.162109375
92164096,0.006855993531644344,-6.836599522087857,22,-6.855993270874023,3136.8896216067956,0.0,-6.829743528556213,22500,4096,26987.65234375
94212096,0.006867486517876387,-6.867528662175671,23,-6.867486000061035,3401.8136462577204,0.0,-6.860661175657794,23000,4096,27555.65234375
96260096,0.006879135500639677,-6.844782162482305,23,-6.8791351318359375,3256.4098745025376,0.0,-6.837903026981666,23500,4096,28147.978515625
98308096,0.006869137287139893,-6.961503037284887,24,-6.869136810302734,3465.286993136313,0.0,-6.954633899997747,24000,4096,28740.28515625
100356096,0.006849650759249926,-6.988432366444413,24,-6.8496503829956055,3338.30221448222,0.0,-6.981582715685163,24500,4096,29333.705078125
102404096,0.006872955709695816,-6.957793161022336,25,-6.872955322265625,3456.188838342105,0.0,-6.95092020531264,25000,4096,29943.828125
104452096,0.006884558126330376,-6.824184193272342,25,-6.884557723999023,3263.6024484276613,0.0,-6.817299635146012,25500,4096,30549.423828125
106500096,0.006898153573274612,-6.89364100199556,26,-6.898153305053711,3432.6346727149084,0.0,-6.886742848422285,26000,4096,31165.203125
108548096,0.006894419901072979,-6.861281132018614,26,-6.8944196701049805,3487.3653965854655,0.0,-6.854386712117541,26500,4096,31777.615234375
110596096,0.006896261125802994,-6.812373014747967,27,-6.896260738372803,3321.3009070724092,0.0,-6.805476753622164,27000,4096,32403.189453125
112644096,0.006917316932231188,-6.874163905127698,27,-6.917316436767578,3598.3079747249526,0.0,-6.867246588195467,27500,4096,33014.1484375
114692096,0.006883821915835142,-6.811502493654338,28,-6.883821487426758,3336.582297747427,0.0,-6.804618671738503,28000,4096,33601.78515625
116740096,0.00691052433103323,-6.881097212458723,28,-6.910523891448975,3548.203774302331,0.0,-6.87418668812769,28500,4096,34207.27734375
118788096,0.0069360798224806786,-6.937993778277059,29,-6.936079502105713,3517.480605352025,0.0,-6.931057698454579,29000,4096,34791.91015625
120836096,0.006936556193977594,-6.822182297767244,29,-6.936555862426758,3236.392768417489,0.0,-6.815245741573267,29500,4096,35376.24609375
122884096,0.006951847579330206,-7.01443425525596,30,-6.951847076416016,3848.8053880854704,0.0,-7.00748240767663,30000,4096,35935.00390625
124932096,0.0069186012260615826,-6.9293086011573415,30,-6.918601036071777,3441.632132059578,0.0,-6.92238999993128,30500,4096,36461.55859375
126980096,0.006923380307853222,-6.986325648056887,31,-6.923379898071289,3697.3414934015996,0.0,-6.979402267749034,31000,4096,37006.04296875
129028096,0.006930728442966938,-6.91276113137598,31,-6.930727958679199,3696.7659371309383,0.0,-6.905830402933013,31500,4096,37507.1953125
