time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/explained_variance,train/clip_fraction,train/clip_range,train/learning_rate,train/std,train/loss,train/entropy_loss,train/kl_loss_with_bc_model,train/n_updates,train/approx_kl,train/kl_coef,train/policy_gradient_loss,train/value_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
1,131072,4701,27,,,,,,,,,,,,,,,,
2,262144,4949,52,-0.0043152570724487305,0.00193328857421875,0.2,0.000299213568,0.006296823732554913,141.23207092285156,6.606597903370857,0.0007361660245805979,5,0.0015897868,0.19950192640000003,-0.0019221339105570223,313.54312353134156,,,
3,393216,4684,83,0.20249003171920776,0.0005859375,0.2,0.000298427136,0.006239080335944891,104.85623931884766,6.616152369976044,0.0021687541157007217,10,0.0010709633,0.19900385280000002,-0.0013353569767787122,232.52530822753906,,,
4,524288,4562,114,0.3627821207046509,0.00043182373046875,0.2,0.00029764070399999995,0.006166260689496994,82.9806900024414,6.722081881761551,0.004821137525141239,15,0.0010401683,0.1985057792,-0.001965347407531226,167.70835094451905,,,
5,655360,4484,146,0.4475542902946472,0.0004486083984375,0.2,0.000296854272,0.006100913044065237,80.4105453491211,6.795160087943077,0.007706883363425732,20,0.0008453478,0.1980077056,-0.0019279904539871496,157.4980523109436,,,
6,786432,4560,172,0.520329475402832,0.00039520263671875,0.2,0.00029606783999999996,0.006037180311977863,60.00092315673828,6.836100208759308,0.011722145602107048,25,0.0008677108,0.19750963200000002,-0.0024628252111142503,157.38800435066224,,,
7,917504,4534,202,0.5876134932041168,1.52587890625e-05,0.2,0.000295281408,0.006019587628543377,54.65382766723633,6.8155252546072,0.012826472520828247,30,0.00018552854,0.1970115584,-0.0003149662043142598,123.72531628608704,,,
8,1048576,4492,233,0.6153796315193176,0.0008514404296875,0.2,0.00029449497599999997,0.005989972501993179,56.30379867553711,6.825673031806946,0.016318529844284058,35,0.0006183366,0.1965134848,-0.001896776082139695,120.85914673805237,,,
9,1179648,4467,264,0.6772449314594269,1.52587890625e-06,0.2,0.00029370854399999994,0.005961071699857712,47.71066665649414,6.893362557888031,0.01892404817044735,40,0.00027598283,0.19601541120000002,-0.0009715152846183628,105.27917199134826,,,
10,1310720,4487,292,0.6841819286346436,7.62939453125e-06,0.2,0.00029292211199999997,0.005955218803137541,50.80741882324219,6.884704524278641,0.021433768793940544,45,0.00024801632,0.1955173376,-0.0005628352053463459,105.26229066848755,,,
11,1441792,4498,320,0.6998389065265656,1.983642578125e-05,0.2,0.00029213568,0.005942498799413443,47.66421127319336,6.921347710490227,0.023885278031229973,50,0.00021704144,0.19501926400000003,-0.000566262337815715,97.02923359870911,,,
12,1572864,4477,351,0.7334118783473969,4.57763671875e-06,0.2,0.000291349248,0.005912126507610083,42.11384201049805,6.968172815442085,0.027011996135115623,55,0.00025645946,0.19452119040000002,-0.0012394912067975384,96.89833798408509,,,
13,1703936,4451,382,0.7452050745487213,1.220703125e-05,0.2,0.00029056281599999995,0.005917880684137344,36.27656936645508,6.984103366732597,0.02955728769302368,60,0.00022518485,0.1940231168,-0.0007626592076121596,88.14847025871276,,,
14,1835008,4440,413,0.7730761766433716,0.0,0.2,0.000289776384,0.005904564168304205,33.078033447265625,6.935409232974052,0.031976886093616486,65,0.0001611028,0.1935250432,-0.0002744121095020091,82.63623533248901,,,
