time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/kl_loss_with_bc_model,train/value_loss,train/explained_variance,train/kl_coef,train/std,train/n_updates,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/loss,train/learning_rate,train/approx_kl,eval/success_rate,eval/mean_reward,eval/mean_ep_length
1,3108,42,131072,,,,,,,,,,,,,,,,
2,2945,88,262144,0.0009099788730964065,77.39226984977722,-0.0028395652770996094,0.001,0.002907427027821541,5,0.00535430908203125,0.2,0.0005653631727909669,11.51234878897667,32.54880905151367,0.00029213568,0.002220495,,,
3,2865,137,393216,0.00372852711006999,74.83965883255004,0.30392318964004517,0.001,0.0028922201599925756,10,0.00537261962890625,0.2,-0.00010623875932651572,11.524748933315276,34.01044464111328,0.00028427136,0.002170885,,,
4,2832,185,524288,0.008212892338633537,56.791227507591245,0.5485664010047913,0.001,0.0028755315579473972,15,0.00579833984375,0.2,-0.0005980079928121995,11.63240357041359,25.647314071655273,0.00027640703999999995,0.0022791147,,,
5,2805,233,655360,0.01397210918366909,48.075417447090146,0.6942960023880005,0.001,0.002869941992685199,20,0.00357513427734375,0.2,-0.001613270073721651,11.67590285539627,16.005401611328125,0.00026854272,0.0019106263,,,
6,2786,282,786432,0.021359559148550034,52.32212867736816,0.7509485930204391,0.001,0.002863999456167221,25,0.00482025146484375,0.2,-0.0004915795776469168,11.645409846305848,20.98413848876953,0.0002606784,0.001954478,,,
7,2772,330,917504,0.03128667175769806,40.37434449195862,0.8484302163124084,0.001,0.0028505499940365553,30,0.0081695556640625,0.2,-0.0010561178154603113,11.677536147832871,15.199328422546387,0.00025281408,0.0027007377,,,
8,2764,379,1048576,0.041932716965675354,36.97546795606613,0.8757496476173401,0.001,0.002835635794326663,35,0.00437164306640625,0.2,-0.00018765513159451074,11.751465731859208,16.483642578125,0.00024494975999999995,0.0019155542,,,
9,2757,427,1179648,0.05332332104444504,34.42588832378387,0.8984731957316399,0.001,0.002837704261764884,40,0.0058746337890625,0.2,0.0010015399158874061,11.645204776525498,14.015313148498535,0.00023708543999999997,0.0024419005,,,
10,2750,476,1310720,0.07967400550842285,33.65159264802933,0.9166888445615768,0.001,0.0028390628285706043,45,0.006939697265625,0.2,-4.667267348850146e-05,11.683458650112152,13.023329734802246,0.00022922112,0.0022362676,,,
11,2742,525,1441792,0.09014634788036346,36.23657025098801,0.9181777387857437,0.001,0.0028350939974188805,50,0.0046356201171875,0.2,-0.0010620070657751056,11.583965694904327,18.027557373046875,0.0002213568,0.0020021102,,,
12,2735,574,1572864,0.11352496594190598,32.08393629789352,0.93575119972229,0.001,0.0028316830284893513,55,0.0026031494140625,0.2,-0.0005138768177857855,11.687010884284973,14.810816764831543,0.00021349247999999997,0.001506007,,,
13,2731,623,1703936,0.12384261935949326,29.818202364444733,0.9409640282392502,0.001,0.002831980586051941,60,0.001800537109375,0.2,0.0007997864340723027,11.709900170564651,12.319083213806152,0.00020562815999999997,0.0013436887,,,
14,2729,672,1835008,0.15076632797718048,33.16941874027252,0.9421179555356503,0.001,0.002832136582583189,65,0.00581207275390625,0.2,2.2645197896054013e-05,11.63683865070343,14.656259536743164,0.00019776383999999997,0.0021713057,,,
15,2726,721,1966080,0.16679245233535767,30.024415063858033,0.9500739760696888,0.001,0.0028287905734032393,70,0.00463104248046875,0.2,-8.164699211192783e-05,11.673927712440491,14.319982528686523,0.00018989951999999997,0.0019449088,,,
16,2724,769,2097152,0.19914138317108154,26.372147500514984,0.9583688899874687,0.001,0.0028286315500736237,75,0.00578460693359375,0.2,0.0005865926039405167,11.749465811252595,12.62108325958252,0.00018203519999999997,0.002045154,,,
17,2721,818,2228224,0.2329014241695404,29.44479283094406,0.9525238424539566,0.001,0.0028307591564953327,80,0.00348358154296875,0.2,-0.0009265282758860848,11.712195712327958,15.235161781311035,0.00017417088,0.0016135509,,,
18,2721,866,2359296,0.24836556613445282,27.361787104606627,0.9597128108143806,0.001,0.0028237071819603443,85,0.00165863037109375,0.2,-0.00045382388270809315,11.717000710964204,12.546232223510742,0.00016630656,0.0012659415,,,
