bc/entropy,bc/ent_loss,batch_size,bc/prob_true_act,bc/batch,bc/l2_norm,bc/l2_loss,bc/samples_so_far,bc/loss,bc/epoch,bc/neglogp
12.574577331542969,-0.012574577704071999,4096,1.5473452906337426e-05,0,2844.500244140625,0.0,4096,11.063810993031975,0,11.076385570736047
11.0476655960083,-0.01104766596108675,4096,7.134538984775846e-05,500,3009.215576171875,0.0,2052096,9.537167557651848,0,9.548215223612935
9.375953674316406,-0.009375954046845436,4096,0.00038358293921466724,1000,3338.173095703125,0.0,4100096,7.868077067128714,1,7.877453021175559
7.560925483703613,-0.0075609260238707066,4096,0.0024775253367893433,1500,3849.336669921875,0.0,6148096,6.057370124503283,1,6.064931050527154
5.627610206604004,-0.005627610255032778,4096,0.018643436740076354,2000,4530.09423828125,0.0,8196096,4.133372550160922,2,4.1390001604159545
3.6903505325317383,-0.0036903508007526398,4096,0.14077659604859122,2500,5366.4375,0.0,10244096,2.220564409685418,2,2.2242547604861707
1.6884303092956543,-0.0016884304350242019,4096,1.0902612063017016,3000,6323.83642578125,0.0,12292096,0.30045720531707854,3,0.30214563575210274
-0.0630798488855362,6.307985313469544e-05,4096,6.646154437840298,3500,7299.15087890625,0.0,14340096,-1.218022852942525,3,-1.2180859327956597
-1.5714645385742188,0.0015714645851403475,4096,34.75709127242452,4000,8097.3876953125,0.0,16388096,-2.4701356625935738,4,-2.471707127178714
-2.556248188018799,0.0025562483351677656,4096,123.86494187316825,4500,8718.375,0.0,18436096,-3.256680037473381,5,-3.259236285808549
-3.250671863555908,0.0032506720162928104,4096,351.376722941029,5000,9275.7685546875,0.0,20484096,-3.7565532212499573,5,-3.75980389326625
-3.824620485305786,0.0038246207404881716,4096,820.6852622920101,5500,9890.2041015625,0.0,22532096,-4.244759434328512,6,-4.248584055069
-4.290748596191406,0.004290748853236437,4096,1609.2338933365681,6000,10596.5810546875,0.0,24580096,-4.691191367789182,6,-4.6954821166424185
-4.694544315338135,0.004694544710218906,4096,3176.672753347415,6500,11279.654296875,0.0,26628096,-5.062912686328383,7,-5.067607231038602
-5.0185441970825195,0.0050185443833470345,4096,5519.273668794118,7000,11952.64453125,0.0,28676096,-5.168127170305402,7,-5.173145714688749
-5.332369327545166,0.005332369357347488,4096,9145.9044832691,7500,12587.6923828125,0.0,30724096,-5.67164704680726,8,-5.676979416164608
-5.3864054679870605,0.005386405624449253,4096,12037.00574408873,8000,13176.7529296875,0.0,32772096,-5.7714792725430435,9,-5.776865678167493
-5.60435676574707,0.0056043569929897785,4096,19638.17793770618,8500,13750.0126953125,0.0,34820096,-5.795111491371573,9,-5.800715848364563
-5.689753532409668,0.00568975368514657,4096,23505.77997885484,9000,14300.7802734375,0.0,36868096,-5.887810346498298,10,-5.893500100183444
-5.872009754180908,0.005872010253369808,4096,33347.705031511694,9500,14828.349609375,0.0,38916096,-6.068336446013921,10,-6.074208456267291
-5.879833221435547,0.005879833362996578,4096,30961.99430395152,10000,15313.07421875,0.0,40964096,-5.823205363525868,11,-5.829085196888864
-6.043190956115723,0.006043191067874432,4096,54139.06786512399,10500,15790.7138671875,0.0,43012096,-6.103489989882057,11,-6.109533180949931
-5.9863810539245605,0.005986381322145462,4096,61245.68248194628,11000,16273.64453125,0.0,45060096,-5.667118679250754,12,-5.673105060572899
-6.062354564666748,0.006062354892492294,4096,62371.39486902114,11500,16701.6953125,0.0,47108096,-6.017356424453476,13,-6.023418779345969
-6.174481391906738,0.006174481473863125,4096,20274.81220932712,12000,17157.3359375,0.0,49156096,-5.94857632904951,13,-5.9547508105233735
-6.208148002624512,0.006208148319274187,4096,90810.93595077802,12500,17558.408203125,0.0,51204096,-6.488211953142516,14,-6.49442010146179
-6.349519729614258,0.006349519826471806,4096,91584.32592054569,13000,18044.83984375,0.0,53252096,-6.384492203315297,14,-6.390841723141769
-6.219178199768066,0.0062191784381866455,4096,97400.30213805757,13500,18450.09765625,0.0,55300096,-6.214062547143287,15,-6.220281725581474
-6.217348575592041,0.006217348854988813,4096,66872.58366615634,14000,18900.619140625,0.0,57348096,-6.1967070255856225,15,-6.202924374440611
-6.411415100097656,0.00641141552478075,4096,102184.4047572917,14500,19304.748046875,0.0,59396096,-6.581245904666294,16,-6.587657320191075
-6.278970718383789,0.0062789712101221085,4096,122168.56406375067,15000,19723.98046875,0.0,61444096,-6.358005853065585,16,-6.364284824275707
-2.630783796310425,0.0026307839434593916,4096,86.33543033344759,15500,20001.208984375,0.0,63492096,-3.1261855519889545,17,-3.128816335932414
-4.2329792976379395,0.004232979379594326,4096,1320.0927896706835,16000,20061.958984375,0.0,65540096,-4.7820921806749155,18,-4.78632516005451
-6.375587463378906,0.006375587545335293,4096,147966.3975211221,16500,20386.431640625,0.0,67588096,-6.490709884820159,18,-6.4970854723654945
-6.459001541137695,0.0064590019173920155,4096,78587.96844878205,17000,20905.720703125,0.0,69636096,-6.020318714359098,19,-6.02677771627649
-6.3641276359558105,0.006364128086715937,4096,156663.94866495428,17500,21386.95703125,0.0,71684096,-6.449164689793865,19,-6.455528817880581
-6.402045249938965,0.006402045488357544,4096,179202.35112255075,18000,21871.626953125,0.0,73732096,-6.501501058334206,20,-6.507903103822564
-6.582109451293945,0.006582109723240137,4096,178696.57866111782,18500,22367.5,0.0,75780096,-6.61253728852577,20,-6.61911939824901
-6.443615913391113,0.0064436160027980804,4096,180786.36822675838,19000,22837.80859375,0.0,77828096,-6.4798083869209275,21,-6.486252002923726
-6.486624240875244,0.006486624479293823,4096,182663.52360162645,19500,23329.248046875,0.0,79876096,-6.430982753851235,22,-6.437469378330529
-6.587470531463623,0.006587470881640911,4096,145657.5230807869,20000,23790.0859375,0.0,81924096,-6.528137598898886,22,-6.534725069780527
-6.681008338928223,0.006681008730083704,4096,120972.84242758638,20500,24243.001953125,0.0,83972096,-6.6263956153993675,23,-6.633076624129451
-6.554792881011963,0.0065547931008040905,4096,231937.34094249533,21000,24712.79296875,0.0,86020096,-6.608089322149423,23,-6.614644115250227
-6.611617088317871,0.006611617282032967,4096,191341.13087055346,21500,25164.3046875,0.0,88068096,-6.621207393606234,24,-6.627819010888267
-6.610711097717285,0.006610711570829153,4096,206637.28848372836,22000,25650.05078125,0.0,90116096,-6.554026028241747,24,-6.560636739812576
-6.684571266174316,0.0066845715045928955,4096,185146.29097686266,22500,26119.609375,0.0,92164096,-6.704562485665849,25,-6.711247057170442
-6.551824569702148,0.006551824975758791,4096,195696.95727150684,23000,26574.8984375,0.0,94212096,-6.564231042043323,26,-6.570782867019082
-6.647783279418945,0.006647783797234297,4096,228627.8109403202,23500,27013.498046875,0.0,96260096,-6.726573494327308,26,-6.733221278124542
-6.683896064758301,0.006683896295726299,4096,226711.38741542402,24000,27456.0703125,0.0,98308096,-6.96591605101716,27,-6.972599947312887
-6.6186723709106445,0.006618672516196966,4096,215959.2089861785,24500,27931.8046875,0.0,100356096,-6.73622592396503,27,-6.742844596481227
-6.692717552185059,0.006692717783153057,4096,182127.97873747107,25000,28385.4609375,0.0,102404096,-6.870378014816162,28,-6.877070732599315
-6.761793613433838,0.006761793978512287,4096,188466.86894550937,25500,28833.556640625,0.0,104452096,-6.905763452793302,28,-6.912525246771814
-6.8029327392578125,0.006802933290600777,4096,224236.1060633325,26000,29284.22265625,0.0,106500096,-6.794138460205848,29,-6.800941393496449
-6.726609230041504,0.006726609542965889,4096,209743.63349385984,26500,29707.966796875,0.0,108548096,-6.871845817833508,29,-6.878572427376474
-6.820778846740723,0.0068207792937755585,4096,215706.89632224495,27000,30175.390625,0.0,110596096,-6.981378862176708,30,-6.988199641470484
-6.649352550506592,0.006649353075772524,4096,126119.35704705288,27500,30583.701171875,0.0,112644096,-6.765527757813398,31,-6.772177110889171
-6.699456691741943,0.006699456833302975,4096,144690.78443380503,28000,31093.931640625,0.0,114692096,-6.175514541659225,31,-6.182213998492528
-6.638155937194824,0.006638156250119209,4096,153789.9058899745,28500,31512.87109375,0.0,116740096,-6.572829268991997,32,-6.579467425242116
-6.867282867431641,0.006867283023893833,4096,218291.96081513003,29000,31996.09375,0.0,118788096,-7.037386524080405,32,-7.044253807104299
-6.7553791999816895,0.006755379494279623,4096,180057.5252157647,29500,32484.98828125,0.0,120836096,-6.367674284590923,33,-6.374429664085203
-6.632800102233887,0.006632800213992596,4096,159019.48200028896,30000,32907.62109375,0.0,122884096,-6.637096513794557,33,-6.643729314008549
-5.714766025543213,0.005714766215533018,4096,19104.91474666563,30500,33198.625,0.0,124932096,-6.058783457459851,34,-6.064498223675384
-6.824012756347656,0.006824013311415911,4096,213127.97097436403,31000,33626.0625,0.0,126980096,-6.745372704030451,35,-6.752196717341867
-6.733895301818848,0.006733895745128393,4096,213738.0663955112,31500,34030.43359375,0.0,129028096,-6.585450804202761,35,-6.5921846999478895
-6.772932052612305,0.006772932596504688,4096,196240.20551911756,32000,34436.62109375,0.0,131076096,-6.917496483227991,36,-6.9242694158244955
-6.869500160217285,0.006869500502943993,4096,165715.69141539623,32500,34825.23828125,0.0,133124096,-6.892636025941653,36,-6.899505526444597
-6.775689601898193,0.006775689776986837,4096,151453.46866201382,33000,35189.58203125,0.0,135172096,-6.744998071655518,37,-6.751773761432505
-6.642677307128906,0.0066426778212189674,4096,116720.01141999438,33500,35556.046875,0.0,137220096,-6.853307640033284,37,-6.859950317854503
-6.765811443328857,0.006765811704099178,4096,112202.43504280725,34000,35913.25390625,0.0,139268096,-6.136480375829493,38,-6.143246187533592
-6.85007381439209,0.006850074045360088,4096,154745.8646933079,34500,36232.03125,0.0,141316096,-6.4198628644544735,39,-6.426712938499834
