bc/ent_loss,bc/entropy,bc/neglogp,bc/samples_so_far,bc/prob_true_act,bc/l2_loss,bc/epoch,bc/l2_norm,bc/batch,bc/loss,batch_size
-0.012574577704071999,12.574577331542969,11.076404439539228,2048,1.5473161606251627e-05,0.0,0,2844.500244140625,0,11.063829861835156,2048
-0.011038732714951038,11.038732528686523,9.539357170540757,1026048,7.197620458071342e-05,0.0,0,3012.24072265625,500,9.528318437825806,2048
-0.009321603924036026,9.321603775024414,7.823022200595725,2050048,0.0004053799195180154,0.0,0,3345.43994140625,1000,7.813700596671689,2048
-0.007437596563249826,7.437596321105957,5.941849627201389,3074048,0.0028070735801618584,0.0,0,3851.890869140625,1500,5.934412030638139,2048
-0.005471592303365469,5.471591949462891,3.9862457601155197,4098048,0.021687227600583538,0.0,1,4522.09912109375,2000,3.980774167812154,2048
-0.003484989982098341,3.484989881515503,2.0303208136219064,5122048,0.1661503812476825,0.0,1,5338.314453125,2500,2.026835823639808,2048
-0.001496112090535462,1.4961119890213013,0.14386157119775386,6146048,1.2414073618278643,0.0,1,6258.47998046875,3000,0.1423654591072184,2048
0.0002654027775861323,-0.26540276408195496,-1.3493557944738666,7170048,7.46925868088873,0.0,1,7139.27392578125,3500,-1.3490903916962804,2048
0.0015767551958560944,-1.576755166053772,-2.415706050531771,8194048,33.72489202344458,0.0,2,7791.3642578125,4000,-2.414129295335915,2048
0.002469585509970784,-2.469585418701172,-3.1169608192262763,9218048,111.9104750858641,0.0,2,8292.00390625,4500,-3.1144912337163055,2048
0.003098755609244108,-3.098755359649658,-3.68971425308535,10242048,279.6595961968597,0.0,2,8727.39453125,5000,-3.686615497476106,2048
0.0036553030367940664,-3.6553027629852295,-4.1683947245820185,11266048,668.298978511481,0.0,3,9227.3642578125,5500,-4.1647394215452245,2048
0.004230029881000519,-4.230029582977295,-4.59326936783325,12290048,1620.7584933674393,0.0,3,9786.583984375,6000,-4.58903933795225,2048
0.004266443662345409,-4.266443252563477,-4.466749879221146,13314048,2486.360176592122,0.0,3,10345.921875,6500,-4.4624834355588,2048
0.004632384981960058,-4.632384777069092,-4.736406443734941,14338048,3988.81967188909,0.0,3,10893.1328125,7000,-4.731774058752981,2048
0.004965290892869234,-4.965290546417236,-5.073218827372685,15362048,6629.484260474053,0.0,4,11422.951171875,7500,-5.068253536479816,2048
0.005292118526995182,-5.292118072509766,-5.451955168430894,16386048,11722.217859181139,0.0,4,11934.056640625,8000,-5.446663049903899,2048
0.005467661190778017,-5.467660903930664,-5.6970117412091135,17410048,19018.579870834456,0.0,4,12390.62109375,8500,-5.6915440800183354,2048
0.0052542611956596375,-5.254261016845703,-5.34804134230146,18434048,16198.765174444467,0.0,5,12852.5478515625,9000,-5.342787081105801,2048
0.0055143143981695175,-5.5143141746521,-5.707751721057898,19458048,23097.05338523189,0.0,5,13293.58203125,9500,-5.702237406659728,2048
0.005509539972990751,-5.509539604187012,-5.537145152148938,20482048,27129.94466253741,0.0,5,13741.6162109375,10000,-5.531635612175947,2048
0.005640801973640919,-5.640801906585693,-5.872165077406127,21506048,33670.222646010865,0.0,5,14142.6181640625,10500,-5.866524275432486,2048
0.005563281010836363,-5.5632805824279785,-5.45278787908615,22530048,34842.50982840704,0.0,6,14592.939453125,11000,-5.447224598075314,2048
0.0061203190125525,-6.12031888961792,-6.260321317212701,23554048,52314.05678550013,0.0,6,15042.5517578125,11500,-6.254200998200148,2048
