bc/entropy,bc/l2_loss,bc/samples_so_far,bc/epoch,bc/ent_loss,bc/prob_true_act,batch_size,bc/loss,bc/neglogp,bc/batch,bc/l2_norm
12.574577331542969,0.0,4096,0,-0.012574577704071999,1.5473279498379423e-05,4096,11.063821736641444,11.076396314345516,0,2844.500244140625
11.067964553833008,0.0,2052096,0,-0.011067965067923069,6.994149131645871e-05,4096,9.556919771947209,9.567987737015132,500,2981.803466796875
9.53443717956543,0.0,4100096,0,-0.009534437209367752,0.00032421640206552725,4096,8.024955071122417,8.034489508331784,1000,3293.14501953125
7.922245979309082,0.0,6148096,1,-0.007922246120870113,0.0016292309576377772,4096,6.414479214177563,6.422401460298433,1500,3775.441650390625
6.208141326904297,0.0,8196096,1,-0.006208141800016165,0.009111347645535459,4096,4.702303208413603,4.7085113502136196,2000,4417.24072265625
4.442134380340576,0.0,10244096,2,-0.004442134406417608,0.05367469113074707,4096,2.938956762861797,2.9433988972682146,2500,5217.71875
2.602966070175171,0.0,12292096,2,-0.002602966269478202,0.34053279535060155,4096,1.103532010797668,1.1061349770671463,3000,6175.119140625
0.7188749313354492,0.0,14340096,3,-0.0007188749732449651,2.2532482034767045,4096,-0.7706933324075622,-0.7699744574343172,3500,7283.74853515625
-1.1552608013153076,0.0,16388096,3,0.0011552608339115977,14.517006459179026,4096,-2.620596911293,-2.6217521721269117,4000,8523.701171875
-2.990046739578247,0.0,18436096,4,0.0029900469817221165,86.39884064009446,4096,-4.372572494007028,-4.37556254098875,4500,9863.5517578125
-4.718415260314941,0.0,20484096,4,0.004718415439128876,435.1323385594642,4096,-5.9118997383874845,-5.916618153826613,5000,11185.765625
-6.149323463439941,0.0,22532096,4,0.006149323657155037,1401.2868765541475,4096,-6.767190488350885,-6.77333981200804,5500,12282.5517578125
-7.0578837394714355,0.0,24580096,5,0.007057884242385626,3364.4938991566905,4096,-7.5080798240375195,-7.515137708279905,6000,12897.888671875
-7.504350185394287,0.0,26628096,5,0.007504350505769253,5208.071267960001,4096,-7.794707998269827,-7.802212348775596,6500,13124.8115234375
-7.737598896026611,0.0,28676096,6,0.007737599313259125,6703.234986588885,4096,-7.968382904591877,-7.976120503905136,7000,13352.70703125
-7.931568145751953,0.0,30724096,6,0.007931568659842014,8552.18894434939,4096,-8.046081287103295,-8.054012855763137,7500,13643.888671875
-8.07586669921875,0.0,32772096,7,0.008075866848230362,10435.395127844598,4096,-8.29682158240695,-8.304897449255181,8000,13924.8115234375
-8.180074691772461,0.0,34820096,7,0.008180075325071812,11732.375163492605,4096,-8.328379005425425,-8.336559080750497,8500,14219.87109375
-8.253837585449219,0.0,36868096,8,0.008253837935626507,12821.007910501501,4096,-8.384743509913543,-8.39299734784917,9000,14501.2138671875
-8.318735122680664,0.0,38916096,8,0.008318735286593437,13773.270575693332,4096,-8.470352809972017,-8.47867154525861,9500,14791.7744140625
-8.392815589904785,0.0,40964096,8,0.00839281640946865,15098.547850409375,4096,-8.40433288871776,-8.41272570512723,10000,15060.2470703125
-8.440370559692383,0.0,43012096,9,0.008440370671451092,15181.808938370687,4096,-8.434013212570003,-8.442453583241454,10500,15348.583984375
-8.45663833618164,0.0,45060096,9,0.008456639014184475,16683.627830664613,4096,-8.410176532334118,-8.418633171348302,11000,15619.62109375
-8.524133682250977,0.0,47108096,10,0.008524133823812008,16937.439386724247,4096,-8.485386878600627,-8.493911012424439,11500,15902.6845703125
-8.573555946350098,0.0,49156096,10,0.008573556318879128,16158.680450734191,4096,-8.459070454693947,-8.467644011012826,12000,16203.4228515625
-8.566507339477539,0.0,51204096,11,0.008566508069634438,19156.49207440738,4096,-8.654344132113891,-8.662910640183526,12500,16480.486328125
-8.589835166931152,0.0,53252096,11,0.008589835837483406,18923.622013765504,4096,-8.606710185275354,-8.615300021112837,13000,16801.037109375
-8.649477005004883,0.0,55300096,12,0.008649477735161781,17989.226116735368,4096,-8.699318085787487,-8.707967563522649,13500,17100.044921875
-8.657539367675781,0.0,57348096,12,0.008657540194690228,19586.526368308027,4096,-8.628233141399154,-8.636890681593844,14000,17413.462890625
-8.597761154174805,0.0,59396096,12,0.008597761392593384,19867.21854284083,4096,-8.726409540258162,-8.735007301650755,14500,17676.080078125
-8.708456993103027,0.0,61444096,13,0.008708457462489605,20446.153427940422,4096,-8.647801539696518,-8.656509997159008,15000,17998.275390625
-8.700824737548828,0.0,63492096,13,0.008700825273990631,20061.235421539226,4096,-8.625881286052094,-8.634582111326084,15500,18293.154296875
-8.71328353881836,0.0,65540096,14,0.008713283576071262,21369.719576678137,4096,-8.72842183918201,-8.737135122758081,16000,18599.755859375
-8.770570755004883,0.0,67588096,14,0.00877057109028101,22802.293945693295,4096,-8.834681530172315,-8.843452101262596,16500,18897.076171875
-8.76104736328125,0.0,69636096,15,0.008761047385632992,23776.73937432246,4096,-8.867796181395983,-8.876557228781616,17000,19224.583984375
-8.751413345336914,0.0,71684096,15,0.00875141378492117,20589.255603271646,4096,-8.694418104083937,-8.703169517868858,17500,19520.421875
-8.777778625488281,0.0,73732096,16,0.008777778595685959,23468.960257099257,4096,-8.787540524147312,-8.796318302742998,18000,19848.150390625
-8.783656120300293,0.0,75780096,16,0.008783656172454357,22075.013906456974,4096,-8.712610738152817,-8.721394394325271,18500,20153.4140625
-8.801214218139648,0.0,77828096,16,0.008801214396953583,23420.776322647616,4096,-8.835307661979046,-8.844108876376,19000,20458.29296875
-8.803153991699219,0.0,79876096,17,0.008803154341876507,23507.37845761664,4096,-8.92680842274579,-8.935611577087666,19500,20767.9765625
-8.82044792175293,0.0,81924096,17,0.008820448070764542,25421.675072313745,4096,-8.899252830813174,-8.908073278883938,20000,21074.853515625
-8.838300704956055,0.0,83972096,18,0.00883830152451992,24174.60290129241,4096,-8.928249367472286,-8.937087668996806,20500,21378.47265625
-8.831873893737793,0.0,86020096,18,0.008831874467432499,25989.66834518675,4096,-8.725549363936167,-8.7343812384036,21000,21650.12109375
-8.82213020324707,0.0,88068096,19,0.008822130970656872,25881.59128931988,4096,-8.839610018336863,-8.84843214930752,21500,21960.73828125
-8.870935440063477,0.0,90116096,19,0.008870935998857021,26429.351631456295,4096,-8.863292193481938,-8.872163129480795,22000,22264.34375
-8.82158088684082,0.0,92164096,20,0.008821581490337849,23261.1100546198,4096,-8.781146672110584,-8.789968253600922,22500,22581.4296875
-8.855207443237305,0.0,94212096,20,0.008855207823216915,25799.65844952273,4096,-8.812225023618721,-8.821080231441938,23000,22914.912109375
-8.886007308959961,0.0,96260096,21,0.008886007592082024,23903.040971520393,4096,-8.831326169601674,-8.840212177193756,23500,23236.69140625
-8.899160385131836,0.0,98308096,21,0.008899160660803318,27652.535232668375,4096,-8.997076122794414,-9.005975283455218,24000,23579.185546875
-8.928403854370117,0.0,100356096,21,0.008928404189646244,27649.41762992645,4096,-9.005549124196518,-9.014477528386164,24500,23919.59765625
-8.909537315368652,0.0,102404096,22,0.008909537456929684,26994.480321458883,4096,-8.929196021310863,-8.938105558767793,25000,24259.341796875
