bc/loss,bc/entropy,bc/samples_so_far,bc/batch,batch_size,bc/l2_norm,bc/l2_loss,bc/ent_loss,bc/prob_true_act,bc/epoch,bc/neglogp
11.063829861835156,12.574577331542969,2048,0,2048,2844.500244140625,0.0,-0.012574577704071999,1.5473161606251627e-05,0,11.076404439539228
9.528318437825806,11.038732528686523,1026048,500,2048,3012.24072265625,0.0,-0.011038732714951038,7.197620458071342e-05,0,9.539357170540757
7.813700596671689,9.321603775024414,2050048,1000,2048,3345.43994140625,0.0,-0.009321603924036026,0.0004053799195180154,0,7.823022200595725
5.934412030638139,7.437596321105957,3074048,1500,2048,3851.890869140625,0.0,-0.007437596563249826,0.0028070735801618584,0,5.941849627201389
3.980774167812154,5.471591949462891,4098048,2000,2048,4522.09912109375,0.0,-0.005471592303365469,0.021687227600583538,1,3.9862457601155197
2.026835823639808,3.484989881515503,5122048,2500,2048,5338.314453125,0.0,-0.003484989982098341,0.1661503812476825,1,2.0303208136219064
0.1423654591072184,1.4961119890213013,6146048,3000,2048,6258.47998046875,0.0,-0.001496112090535462,1.2414073618278643,1,0.14386157119775386
-1.3490903916962804,-0.26540276408195496,7170048,3500,2048,7139.27392578125,0.0,0.0002654027775861323,7.46925868088873,1,-1.3493557944738666
-2.414129295335915,-1.576755166053772,8194048,4000,2048,7791.3642578125,0.0,0.0015767551958560944,33.72489202344458,2,-2.415706050531771
-3.1144912337163055,-2.469585418701172,9218048,4500,2048,8292.00390625,0.0,0.002469585509970784,111.9104750858641,2,-3.1169608192262763
-3.686615497476106,-3.098755359649658,10242048,5000,2048,8727.39453125,0.0,0.003098755609244108,279.6595961968597,2,-3.68971425308535
-4.1647394215452245,-3.6553027629852295,11266048,5500,2048,9227.3642578125,0.0,0.0036553030367940664,668.298978511481,3,-4.1683947245820185
-4.58903933795225,-4.230029582977295,12290048,6000,2048,9786.583984375,0.0,0.004230029881000519,1620.7584933674393,3,-4.59326936783325
-4.4624834355588,-4.266443252563477,13314048,6500,2048,10345.921875,0.0,0.004266443662345409,2486.360176592122,3,-4.466749879221146
-4.731774058752981,-4.632384777069092,14338048,7000,2048,10893.1328125,0.0,0.004632384981960058,3988.81967188909,3,-4.736406443734941
