time/fps,time/time_elapsed,time/episodes,rollout/success_rate,time/total_timesteps,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
437,43,72,0.013888888888888888,18992,0.5727139711380005,0.00029943048,-2.810373544692993,1861,0.10534363985061646,-11.814411163330078,,,
437,45,76,0.013157894736842105,19864,0.55433189868927,0.00029940432,-2.983912944793701,1970,0.13611045479774475,-12.102774620056152,,,
437,47,80,0.0125,20816,0.5349143147468567,0.00029937576,-3.1543309688568115,2089,0.6614456176757812,-12.430353164672852,,,
436,52,84,0.011904761904761904,22736,0.4978288412094116,0.00029931816,-3.5326454639434814,2329,1.4290766716003418,-12.821653366088867,,,
436,54,88,0.011363636363636364,23616,0.48170602321624756,0.00029929176,-3.6947171688079834,2439,0.7082797884941101,-13.305288314819336,,,
436,56,92,0.010869565217391304,24560,0.4649984836578369,0.00029926344,-3.8435654640197754,2557,0.772364616394043,-13.59276008605957,,,
,,,,24576,0.46472084522247314,0.00029926295999999997,-3.8667116165161133,2559,0.8012934327125549,-13.457263946533203,-234.24159316667345,189.3125,0.0
416,60,96,0.010416666666666666,25328,0.45184245705604553,0.00029924039999999996,-4.010540008544922,2653,0.09694130718708038,-13.8257474899292,,,
417,63,100,0.01,26512,0.4322841167449951,0.00029920487999999997,-4.203421592712402,2801,0.8526910543441772,-14.008880615234375,,,
417,64,104,0.01,26920,0.42574581503868103,0.00029919264,-4.286177635192871,2852,0.0991310179233551,-14.181051254272461,,,
418,66,108,0.01,27936,0.4098862111568451,0.00029916215999999996,-4.49014139175415,2979,0.8676321506500244,-14.376773834228516,,,
418,69,112,0.01,29024,0.3935604989528656,0.00029912952,-4.68620491027832,3115,0.9516830444335938,-14.17148208618164,,,
418,70,116,0.01,29704,0.3836866319179535,0.00029910912,-4.825730800628662,3200,0.10357651114463806,-14.66138744354248,,,
419,73,120,0.01,30768,0.3687652349472046,0.0002990772,-5.01063871383667,3333,0.12576323747634888,-14.749734878540039,,,
419,75,124,0.01,31640,0.3569778501987457,0.00029905103999999994,-5.199372291564941,3442,1.0933334827423096,-14.758296012878418,,,
419,77,128,0.01,32648,0.34380945563316345,0.00029902079999999994,-5.340580463409424,3568,0.13295456767082214,-15.025274276733398,,,
,,,,32768,0.34227436780929565,0.0002990172,-5.363455772399902,3583,0.8883336782455444,-14.793792724609375,-218.71936123049528,113.28125,0.0
409,81,132,0.01,33464,0.33354470133781433,0.00029899631999999996,-5.510256767272949,3670,2.5046677589416504,-14.800129890441895,,,
408,85,136,0.01,34808,0.31721997261047363,0.00029895599999999996,-5.721490383148193,3838,2.149251699447632,-15.020906448364258,,,
409,86,140,0.01,35256,0.311994731426239,0.00029894256,-5.861166954040527,3894,1.0365065336227417,-14.801322937011719,,,
409,87,144,0.01,35992,0.30353638529777527,0.00029892047999999997,-5.970531940460205,3986,1.0066947937011719,-15.068355560302734,,,
409,89,148,0.01,36640,0.29629963636398315,0.00029890103999999997,-6.122209072113037,4067,107.13844299316406,-15.264579772949219,,,
409,90,152,0.0,37184,0.2903604507446289,0.00029888471999999996,-6.216890335083008,4135,0.3323173522949219,-15.13958740234375,,,
409,93,156,0.0,38256,0.27903369069099426,0.00029885256,-6.375603199005127,4269,1.1567962169647217,-15.352763175964355,,,
410,96,160,0.0,39480,0.26660698652267456,0.00029881583999999997,-6.650212287902832,4422,0.40252071619033813,-14.913360595703125,,,
410,97,164,0.0,40008,0.26141610741615295,0.0002988,-6.74759578704834,4488,3.416614294052124,-15.00140380859375,,,
,,,,40960,0.25236424803733826,0.00029877144,-6.9040303230285645,4607,0.29311591386795044,-14.810720443725586,-224.9495667977092,168.90625,0.0
399,103,168,0.0,41216,0.2499689906835556,0.00029876375999999996,-6.911205291748047,4639,97.48165893554688,-14.580116271972656,,,
399,105,172,0.0,42152,0.24143125116825104,0.00029873568,-7.0375776290893555,4756,2.73787784576416,-15.234025955200195,,,
400,107,176,0.0,42944,0.23444780707359314,0.00029871191999999996,-7.194323539733887,4855,0.4582129418849945,-14.892854690551758,,,
