bc/loss,bc/epoch,bc/l2_loss,bc/samples_so_far,bc/entropy,bc/l2_norm,bc/ent_loss,batch_size,bc/prob_true_act,bc/neglogp,bc/batch
11.063203555339522,0,0.0,4096,12.574575424194336,1564.5001220703125,-0.01257457584142685,4096,1.5482845921857544e-05,11.075778131180948,0
9.545527662456248,0,0.0,2052096,11.056577682495117,1672.7078857421875,-0.011056577786803246,4096,7.074308840321358e-05,9.556584240243051,500
7.9608905118116855,1,0.0,4100096,9.47034740447998,1950.2681884765625,-0.009470348246395588,4096,0.00034627987866440177,7.970360860058081,1000
6.210962211476874,2,0.0,6148096,7.7186503410339355,2370.9287109375,-0.007718650624155998,4096,0.0020288304303670247,6.21868086210103,1500
4.3637742338142,2,0.0,8196096,5.869553565979004,2938.116455078125,-0.00586955389007926,4096,0.013231551547603169,4.3696437877042795,2000
2.4931572678320144,3,0.0,10244096,3.9969162940979004,3645.903564453125,-0.003996916580945253,4096,0.08840391918901387,2.4971541844129597,2500
0.5811614227450884,4,0.0,12292096,2.082242488861084,4483.83935546875,-0.0020822426304221153,4096,0.6057972852479714,0.5832436653755105,3000
-1.3966287752142046,5,0.0,14340096,0.10135840624570847,5430.50048828125,-0.00010135841148439795,4096,4.401693371011959,-1.3965274168027202,3500
-3.2818316630608404,5,0.0,16388096,-1.810730218887329,6473.40087890625,0.0018107303185388446,4096,28.807795024035748,-3.2836423933793792,4000
-5.192052510297984,6,0.0,18436096,-3.714285373687744,7604.5087890625,0.003714285558089614,4096,197.33872247311163,-5.195766795856073,4500
-7.005437032530759,7,0.0,20484096,-5.573342323303223,8810.83984375,0.005573342554271221,4096,1227.1395248451454,-7.01101037508503,5000
-8.473515580833908,8,0.0,22532096,-7.30112361907959,10024.8828125,0.007301123812794685,4096,6140.583796632738,-8.480816704646703,5500
-9.913489893499865,8,0.0,24580096,-8.776416778564453,11122.724609375,0.008776417002081871,4096,26902.35376561311,-9.922266310501946,6000
-10.421742475223459,9,0.0,26628096,-9.851051330566406,11899.23046875,0.00985105149447918,4096,66770.41916006195,-10.431593526717938,6500
-10.447461437089249,10,0.0,28676096,-10.56913948059082,12446.49609375,0.010569140315055847,4096,81643.01515348573,-10.458030577404305,7000
-11.356197615747153,11,0.0,30724096,-10.991079330444336,12908.0361328125,0.010991079732775688,4096,237627.80014172755,-11.367188695479928,7500
-11.69133611278694,11,0.0,32772096,-11.351434707641602,13340.4697265625,0.01135143544524908,4096,295047.0821297731,-11.70268754823219,8000
-11.974377910830444,12,0.0,34820096,-11.607255935668945,13765.8125,0.011607256717979908,4096,434393.55224600376,-11.985985167548424,8500
-12.13189478568123,13,0.0,36868096,-11.76810359954834,14123.6171875,0.011768104508519173,4096,607114.3865510647,-12.143662890189749,9000
-12.164786708704916,14,0.0,38916096,-11.880668640136719,14492.4833984375,0.011880668811500072,4096,577300.3912765356,-12.176667377516416,9500
-12.45800477938895,14,0.0,40964096,-12.055622100830078,14880.3857421875,0.012055622413754463,4096,834050.5739582225,-12.470060401802705,10000
-12.312789069931048,15,0.0,43012096,-12.140034675598145,15235.7490234375,0.012140035629272461,4096,874739.1352252256,-12.32492910556032,10500
-12.422809154993418,16,0.0,45060096,-12.232336044311523,15538.3701171875,0.012232336215674877,4096,916020.8075503175,-12.435041491209093,11000
-10.996970949776724,16,0.0,47108096,-12.300355911254883,15875.4853515625,0.012300356291234493,4096,203348.08016960736,-11.009271306067959,11500
-12.496887390799223,17,0.0,49156096,-12.307395935058594,16165.6259765625,0.012307396158576012,4096,983401.5955845101,-12.5091947869578,12000
-12.373867332207405,18,0.0,51204096,-12.3469820022583,16453.7890625,0.012346982955932617,4096,884272.1879936152,-12.386214315163338,12500
-12.362339211507,19,0.0,53252096,-12.335871696472168,16710.927734375,0.012335872277617455,4096,1266852.0690295626,-12.374675083784618,13000
-12.056834946570758,19,0.0,55300096,-12.3839750289917,16983.751953125,0.012383976019918919,4096,786688.913637979,-12.069218922590677,13500
-12.445942736462019,20,0.0,57348096,-12.425102233886719,17244.75390625,0.012425103224813938,4096,1119123.9835330385,-12.458367839686833,14000
-12.6989048563237,21,0.0,59396096,-12.434432983398438,17524.73828125,0.012434433214366436,4096,1236275.6308878139,-12.711339289538067,14500
-12.176460361972769,22,0.0,61444096,-12.520009994506836,17804.28515625,0.012520010583102703,4096,1484313.6184823923,-12.188980372555871,15000
-12.52235983593079,22,0.0,63492096,-12.512237548828125,18103.68359375,0.012512237764894962,4096,1021109.3292742833,-12.534872073695684,15500
-12.725975347738354,23,0.0,65540096,-12.559383392333984,18385.19921875,0.012559384107589722,4096,1804783.4916327752,-12.738534731845943,16000
-12.807952814839496,24,0.0,67588096,-12.534610748291016,18637.130859375,0.01253461092710495,4096,1664232.025318643,-12.8204874257666,16500
-11.970415413030112,25,0.0,69636096,-12.564484596252441,18914.73046875,0.01256448496133089,4096,791087.2075545071,-11.982979897991443,17000
-12.615827361087508,25,0.0,71684096,-12.595806121826172,19194.8203125,0.012595806270837784,4096,1862234.5730505635,-12.628423167358346,17500
-12.815319792169333,26,0.0,73732096,-12.599449157714844,19491.3046875,0.01259944960474968,4096,1572108.3808535242,-12.827919241774083,18000
-12.572111554284124,27,0.0,75780096,-12.634200096130371,19773.2421875,0.012634200975298882,4096,1825099.2062935317,-12.584745755259423,18500
-12.962521846642948,28,0.0,77828096,-12.605002403259277,20025.59375,0.012605003081262112,4096,2152598.3626990365,-12.97512684972421,19000
-13.031087574510071,28,0.0,79876096,-12.68387222290039,20345.66015625,0.012683873064815998,4096,2095237.642064539,-13.043771447574887,19500
-13.1077869893368,29,0.0,81924096,-12.66337776184082,20614.1953125,0.01266337838023901,4096,2280694.734391325,-13.120450367717039,20000
-12.910939335946336,30,0.0,83972096,-12.67831039428711,20916.681640625,0.012678311206400394,4096,1674162.054671709,-12.923617647152737,20500
-12.71515865664746,30,0.0,86020096,-12.679804801940918,21228.279296875,0.012679805047810078,4096,1511072.25198414,-12.72783846169527,21000
-12.78095312552204,31,0.0,88068096,-12.667940139770508,21508.998046875,0.012667940929532051,4096,2347252.5985058453,-12.793621066451571,21500
-13.167406005412865,32,0.0,90116096,-12.71470832824707,21798.134765625,0.012714709155261517,4096,2634614.7620416814,-13.180120714568126,22000
-13.186617680392093,33,0.0,92164096,-12.754480361938477,22098.669921875,0.01275448128581047,4096,2695653.089246745,-13.199372161677903,22500
-12.872781988327601,33,0.0,94212096,-12.756938934326172,22381.1328125,0.012756939977407455,4096,2467969.7382233874,-12.885538928305008,23000
-13.149133497858518,34,0.0,96260096,-12.729622840881348,22614.74609375,0.012729623354971409,4096,2568282.677551445,-13.16186312121349,23500
-13.229167542728563,35,0.0,98308096,-12.820087432861328,22929.783203125,0.012820088304579258,4096,3054060.14393543,-13.241987631033142,24000
-13.06023361915029,36,0.0,100356096,-12.73107624053955,23155.85546875,0.012731077149510384,4096,2297195.2774610133,-13.0729646962998,24500
-12.822270834752775,36,0.0,102404096,-12.774628639221191,23414.78125,0.012774629518389702,4096,2592793.149064432,-12.835045464271165,25000
-13.08315180190992,37,0.0,104452096,-12.834754943847656,23705.775390625,0.012834755703806877,4096,2340327.2620524922,-13.095986557613728,25500
-13.17746778862315,38,0.0,106500096,-12.761003494262695,23934.591796875,0.012761004269123077,4096,2893521.0050489567,-13.190228792892274,26000
-13.264254718982668,39,0.0,108548096,-12.852496147155762,24275.37890625,0.012852496467530727,4096,2849644.437901575,-13.277107215450199,26500
-12.896013011445941,39,0.0,110596096,-12.80417251586914,24574.296875,0.012804172933101654,4096,2408346.2308824053,-12.908817184379043,27000
-13.258375091362687,40,0.0,112644096,-12.836465835571289,24817.060546875,0.012836466543376446,4096,2932203.5383719644,-13.271211557906064,27500
-13.264258176408486,41,0.0,114692096,-12.857308387756348,25135.939453125,0.012857308611273766,4096,2628787.595695491,-13.27711548501976,28000
-13.330575771256445,42,0.0,116740096,-12.87191390991211,25430.271484375,0.01287191454321146,4096,3359073.2024532305,-13.343447685799656,28500
-13.187853149772288,42,0.0,118788096,-12.857879638671875,25702.70703125,0.01285788044333458,4096,3033635.1527776103,-13.200711030215622,29000
-13.02571052551222,43,0.0,120836096,-12.921426773071289,26030.197265625,0.012921427376568317,4096,2644331.9000972332,-13.038631952888789,29500
-13.31673548476938,44,0.0,122884096,-12.884982109069824,26253.669921875,0.012884982861578465,4096,3487445.590003295,-13.329620467630958,30000
-13.43805787155619,44,0.0,124932096,-12.910837173461914,26593.697265625,0.01291083823889494,4096,3721840.410836334,-13.450968709795085,30500
-13.069480867670126,45,0.0,126980096,-12.873926162719727,26900.818359375,0.012873927131295204,4096,2237237.5317141926,-13.082354794801422,31000
-12.872445854006752,46,0.0,129028096,-12.997705459594727,27247.283203125,0.012997706420719624,4096,2201265.1970700594,-12.885443560427472,31500
-13.361495535328142,47,0.0,131076096,-12.91089916229248,27550.01171875,0.012910899706184864,4096,3840310.800876277,-13.374406435034327,32000
-13.23083604880226,47,0.0,133124096,-12.894556045532227,27812.951171875,0.012894556857645512,4096,3193371.2823632983,-13.243730605659906,32500
-13.007505113579569,48,0.0,135172096,-12.929479598999023,28129.08984375,0.012929480522871017,4096,2518825.377030351,-13.02043459410244,33000
-13.167070525482917,49,0.0,137220096,-12.9935302734375,28458.98046875,0.012993531301617622,4096,3813715.396656656,-13.180064056784534,33500
-12.782746887749648,50,0.0,139268096,-12.98263168334961,28766.005859375,0.012982632033526897,4096,3018834.5397629044,-12.795729519783174,34000
-13.416314785328648,50,0.0,141316096,-12.953750610351562,29077.865234375,0.012953750789165497,4096,3680106.822271557,-13.429268536117814,34500
-13.131239754282422,51,0.0,143364096,-13.005267143249512,29356.0859375,0.013005267828702927,4096,3209300.3156889733,-13.144245022111125,35000
-13.3616369926504,52,0.0,145412096,-12.97219467163086,29673.396484375,0.012972195632755756,4096,3441389.2032894306,-13.374609188283156,35500
-13.054534531665613,53,0.0,147460096,-13.042051315307617,29957.21875,0.013042052276432514,4096,2134764.0653143353,-13.067576583942046,36000
-13.033630985979233,53,0.0,149508096,-13.050338745117188,30271.5078125,0.013050339184701443,4096,3137627.2818872505,-13.046681325163934,36500
-13.000442177911744,54,0.0,151556096,-12.988187789916992,30545.470703125,0.012988188304007053,4096,2165378.502414834,-13.01343036621575,37000
