time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/approx_kl,train/kl_coef,train/clip_fraction,train/loss,train/value_loss,train/std,train/kl_loss_with_bc_model,train/learning_rate,train/entropy_loss,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
131072,1,25,5240,,,,,,,,,,,,,,,,
262144,2,49,5327,0.0010566977,0.19950192640000003,0.00080413818359375,94.97920989990234,208.9063784599304,0.015038659796118736,0.00043609165004454553,0.000299213568,9.014890372753143,0.2,0.005099236965179443,-0.001347277702006977,5,,,
393216,3,77,5069,0.0003815585,0.19900385280000002,0.000103759765625,74.5755844116211,173.93691358566284,0.015033441595733166,0.0010361233726143837,0.000298427136,8.988775092363358,0.2,0.2742111086845398,-0.0004194180935883196,10,,,
524288,4,105,4952,0.00038128262,0.1985057792,0.00013275146484375,59.76803207397461,139.13101229667663,0.015036366879940033,0.0018887631595134735,0.00029764070399999995,8.972048830986022,0.2,0.4491140842437744,-0.00060893403206137,15,,,
655360,5,133,4899,0.0002968996,0.1980077056,0.00012054443359375,56.0264778137207,122.2693166255951,0.015042392536997795,0.002786621218547225,0.000296854272,9.073251247406006,0.2,0.5489034056663513,-0.00034512089696363545,20,,,
786432,6,159,4942,0.0004029643,0.19750963200000002,0.000115966796875,51.79468536376953,126.15249996185302,0.01502373069524765,0.0045176283456385136,0.00029606783999999996,9.02039897441864,0.2,0.598200798034668,-0.0007012382258835715,25,,,
917504,7,186,4923,0.0003156162,0.1970115584,0.000146484375,37.0379753112793,96.49835896492004,0.015011533163487911,0.00601128488779068,0.000295281408,9.068704730272293,0.2,0.688149631023407,-0.00044532895044540054,30,,,
1048576,8,215,4872,0.00030697382,0.1965134848,0.0001434326171875,39.164146423339844,87.47100682258606,0.0150031428784132,0.007729781325906515,0.00029449497599999997,9.089425021409989,0.2,0.7201147675514221,-0.0004641446226742119,35,,,
1179648,9,242,4863,0.00030437298,0.19601541120000002,4.119873046875e-05,41.916439056396484,98.71534080505371,0.014986006543040276,0.009066816419363022,0.00029370854399999994,9.128018867969512,0.2,0.7357970178127289,-0.0004835663967241999,40,,,
1310720,10,268,4872,0.0002950496,0.1955173376,5.340576171875e-05,38.170745849609375,89.6991994857788,0.014978908002376556,0.010469950735569,0.00029292211199999997,9.135516846179963,0.2,0.7570906281471252,-0.0004952351493557217,45,,,
1441792,11,295,4881,0.000252427,0.19501926400000003,0.00012054443359375,34.77561569213867,77.20351016521454,0.014969367533922195,0.013801890425384045,0.00029213568,9.222089755535126,0.2,0.798815593123436,-0.0006538787190947914,50,,,
1572864,12,323,4862,0.00027030977,0.19452119040000002,0.00013275146484375,42.007083892822266,88.99333772659301,0.01496568601578474,0.01767672598361969,0.000291349248,9.163537341356278,0.2,0.7715553194284439,-6.813250583945774e-05,55,,,
1703936,13,351,4847,0.00032934843,0.1940231168,0.00018157958984375,30.28398323059082,71.50730080604554,0.014961863867938519,0.018564922735095024,0.00029056281599999995,9.158606010675431,0.2,0.8257506191730499,-0.0002728610648773611,60,,,
1835008,14,380,4821,0.00041713548,0.1935250432,0.00040130615234375,31.214868545532227,76.89777607917786,0.014961078763008118,0.02486148104071617,0.000289776384,9.078051340579986,0.2,0.811777651309967,-0.00030495526880258694,65,,,
1966080,15,407,4820,0.00027218316,0.19302696960000001,0.00014190673828125,28.081314086914062,67.50071280002594,0.014963025227189064,0.027598049491643906,0.00028898995199999996,9.256246757507324,0.2,0.8461633175611496,-0.0003009828746144194,70,,,
2097152,16,435,4814,0.0003115637,0.19252889600000003,0.00012054443359375,27.654146194458008,72.2730015039444,0.014956852421164513,0.03238482400774956,0.00028820352,9.178478413820267,0.2,0.8279086947441101,-0.000293066324229585,75,,,
