time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/loss,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/std,train/entropy_loss,train/clip_range,train/kl_loss_with_bc_model,train/explained_variance,train/n_updates,train/value_loss
9,32768,1,3304,,,,,,,,,,,,
18,65536,2,3466,200.7507781982422,6.103515625e-06,0.00046049146,-0.0026279647718183696,0.00025084799999999997,0.03510831296443939,3.9272228449583055,0.2,0.00020520255202427506,0.0025395750999450684,5,429.5424331665039
